sample_id,description
cps2001_09s,"IPUMS-CPS, September 2001"
cps2001_10s,"IPUMS-CPS, October 2001"
cps2001_11s,"IPUMS-CPS, November 2001"
cps2001_12s,"IPUMS-CPS, December 2001"
cps2002_01s,"IPUMS-CPS, January 2002"
cps2002_02s,"IPUMS-CPS, February 2002"
cps2002_03b,"IPUMS-CPS, March 2002"
cps2002_03s,"IPUMS-CPS, ASEC 2002"
cps2002_04b,"IPUMS-CPS, April 2002"
cps2002_05b,"IPUMS-CPS, May 2002"
cps2002_06s,"IPUMS-CPS, June 2002"
cps2002_07b,"IPUMS-CPS, July 2002"
cps2002_08s,"IPUMS-CPS, August 2002"
cps2002_09s,"IPUMS-CPS, September 2002"
cps2002_10s,"IPUMS-CPS, October 2002"
cps2002_11s,"IPUMS-CPS, November 2002"
cps2002_12s,"IPUMS-CPS, December 2002"
cps2003_01b,"IPUMS-CPS, January 2003"
cps2003_02s,"IPUMS-CPS, February 2003"
cps2003_03b,"IPUMS-CPS, March 2003"
cps2003_03s,"IPUMS-CPS, ASEC 2003"
cps2003_04b,"IPUMS-CPS, April 2003"
cps2003_05b,"IPUMS-CPS, May 2003"
cps2003_06s,"IPUMS-CPS, June 2003"
cps2003_07b,"IPUMS-CPS, July 2003"
cps2003_08s,"IPUMS-CPS, August 2003"
cps2003_09s,"IPUMS-CPS, September 2003"
cps2003_10s,"IPUMS-CPS, October 2003"
cps2003_11s,"IPUMS-CPS, November 2003"
cps2003_12s,"IPUMS-CPS, December 2003"
cps2004_01s,"IPUMS-CPS, January 2004"
cps2004_02b,"IPUMS-CPS, February 2004"
cps2004_03b,"IPUMS-CPS, March 2004"
cps2004_03s,"IPUMS-CPS, ASEC 2004"
cps2004_04b,"IPUMS-CPS, April 2004"
cps2004_05s,"IPUMS-CPS, May 2004"
cps2004_06s,"IPUMS-CPS, June 2004"
cps2004_07b,"IPUMS-CPS, July 2004"
cps2004_08b,"IPUMS-CPS, August 2004"
cps2004_09s,"IPUMS-CPS, September 2004"
cps2004_10s,"IPUMS-CPS, October 2004"
cps2004_11s,"IPUMS-CPS, November 2004"
cps2004_12s,"IPUMS-CPS, December 2004"
cps2005_01s,"IPUMS-CPS, January 2005"
cps2005_02s,"IPUMS-CPS, February 2005"
cps2005_03b,"IPUMS-CPS, March 2005"
cps2005_03s,"IPUMS-CPS, ASEC 2005"
cps2005_04b,"IPUMS-CPS, April 2005"
cps2005_05s,"IPUMS-CPS, May 2005"
cps2005_06b,"IPUMS-CPS, June 2005"
cps2005_07s,"IPUMS-CPS, July 2005"
cps2005_08s,"IPUMS-CPS, August 2005"
cps2005_09s,"IPUMS-CPS, September 2005"
cps2005_10s,"IPUMS-CPS, October 2005"
cps2005_11s,"IPUMS-CPS, November 2005"
cps2005_12s,"IPUMS-CPS, December 2005"
cps2006_01s,"IPUMS-CPS, January 2006"
cps2006_02b,"IPUMS-CPS, February 2006"
cps2006_03b,"IPUMS-CPS, March 2006"
cps2006_03s,"IPUMS-CPS, ASEC 2006"
cps2006_04b,"IPUMS-CPS, April 2006"
cps2006_05s,"IPUMS-CPS, May 2006"
cps2006_06s,"IPUMS-CPS, June 2006"
cps2006_07b,"IPUMS-CPS, July 2006"
cps2006_08s,"IPUMS-CPS, August 2006"
cps2006_09s,"IPUMS-CPS, September 2006"
cps2006_10s,"IPUMS-CPS, October 2006"
cps2006_11s,"IPUMS-CPS, November 2006"
cps2006_12s,"IPUMS-CPS, December 2006"
cps2007_01s,"IPUMS-CPS, January 2007"
cps2007_02b,"IPUMS-CPS, February 2007"
cps2007_03b,"IPUMS-CPS, March 2007"
cps2007_03s,"IPUMS-CPS, ASEC 2007"
cps2007_04b,"IPUMS-CPS, April 2007"
cps2007_05b,"IPUMS-CPS, May 2007"
cps2007_06b,"IPUMS-CPS, June 2007"
cps2007_07b,"IPUMS-CPS, July 2007"
cps2007_08s,"IPUMS-CPS, August 2007"
cps2007_09s,"IPUMS-CPS, September 2007"
cps2007_10s,"IPUMS-CPS, October 2007"
cps2007_11b,"IPUMS-CPS, November 2007"
cps2007_12s,"IPUMS-CPS, December 2007"
cps2008_01s,"IPUMS-CPS, January 2008"
cps2008_02b,"IPUMS-CPS, February 2008"
cps2008_03b,"IPUMS-CPS, March 2008"
cps2008_03s,"IPUMS-CPS, ASEC 2008"
cps2008_04b,"IPUMS-CPS, April 2008"
cps2008_05s,"IPUMS-CPS, May 2008"
cps2008_06s,"IPUMS-CPS, June 2008"
cps2008_07b,"IPUMS-CPS, July 2008"
cps2008_08s,"IPUMS-CPS, August 2008"
cps2008_09s,"IPUMS-CPS, September 2008"
cps2008_10s,"IPUMS-CPS, October 2008"
cps2008_11s,"IPUMS-CPS, November 2008"
cps2008_12s,"IPUMS-CPS, December 2008"
cps2009_01s,"IPUMS-CPS, January 2009"
cps2009_02b,"IPUMS-CPS, February 2009"
cps2009_03b,"IPUMS-CPS, March 2009"
cps2009_03s,"IPUMS-CPS, ASEC 2009"
cps2009_04b,"IPUMS-CPS, April 2009"
cps2009_05b,"IPUMS-CPS, May 2009"
cps2009_06b,"IPUMS-CPS, June 2009"
cps2009_07b,"IPUMS-CPS, July 2009"
cps2009_08s,"IPUMS-CPS, August 2009"
cps2009_09s,"IPUMS-CPS, September 2009"
cps2009_10s,"IPUMS-CPS, October 20097"
cps2009_11s,"IPUMS-CPS, November 2009"
cps2009_12s,"IPUMS-CPS, December 2009"
cps2010_01s,"IPUMS-CPS, January 2010"
cps2010_02b,"IPUMS-CPS, February 2010"
cps2010_03b,"IPUMS-CPS, March 2010"
cps2010_03s,"IPUMS-CPS, ASEC 2010"
cps2010_04b,"IPUMS-CPS, April 2010"
cps2010_05s,"IPUMS-CPS, May 2010"
cps2010_06s,"IPUMS-CPS, June 2010"
cps2010_07s,"IPUMS-CPS, July 2010"
